@RELATION cleaned_computed_insight_success_of_active_sellers_grouped

@ATTRIBUTE listed_products NUMERIC
@ATTRIBUTE total_units_sold NUMERIC
@ATTRIBUTE mean_units_sold_per_product NUMERIC
@ATTRIBUTE rating NUMERIC
@ATTRIBUTE merchant_ratings_count NUMERIC
@ATTRIBUTE mean_product_prices NUMERIC
@ATTRIBUTE mean_retail_prices NUMERIC
@ATTRIBUTE average_discount NUMERIC
@ATTRIBUTE mean_product_ratings_count NUMERIC
@ATTRIBUTE total_urgency_count NUMERIC
@ATTRIBUTE urgency_text_rate_group {none,low,medium,high}

@DATA
1,20000,20000.0,4.082,22089.0,9.0,9.0,0.0,5479.0,0.0,none
1,20000,20000.0,4.084,15006.0,8.0,59.0,87.0,5929.0,0.0,none
1,20000,20000.0,4.097,200089.0,13.0,30.0,57.0,3421.0,1.0,high
1,20000,20000.0,4.097,4107.0,22.0,19.0,-15.0,1103.0,0.0,none
1,20000,20000.0,4.097,45964.0,13.0,252.0,95.0,12041.0,0.0,none
1,20000,20000.0,4.112,30892.0,12.0,11.0,-9.0,5351.0,0.0,none
1,20000,20000.0,4.114,11740.0,6.0,6.0,0.0,6509.0,0.0,none
1,20000,20000.0,4.119,4646.0,5.87,5.0,-17.0,4137.0,0.0,none
1,20000,20000.0,4.13,9492.0,8.0,7.0,-14.0,3700.0,0.0,none
1,20000,20000.0,4.147,21892.0,8.0,7.0,-14.0,3090.0,0.0,none
1,20000,20000.0,4.165,8501.0,7.0,6.0,-16.0,2019.0,1.0,high
1,20000,20000.0,4.168,49327.0,9.0,36.0,75.0,4345.0,0.0,none
1,20000,20000.0,4.184,6555.0,5.78,8.0,28.0,3975.0,0.0,none
1,20000,20000.0,4.196,8205.0,5.66,5.0,-13.0,2927.0,0.0,none
1,20000,20000.0,4.196,4570.0,3.65,4.0,9.0,4215.0,0.0,none
1,20000,20000.0,4.197,127966.0,5.71,84.0,94.0,4657.0,1.0,high
1,20000,20000.0,4.205,48654.0,8.0,84.0,91.0,8960.0,1.0,high
1,20000,20000.0,4.209,32923.0,8.0,7.0,-14.0,5781.0,0.0,none
1,20000,20000.0,4.26,10269.0,5.0,5.0,0.0,7773.0,0.0,none
1,20000,20000.0,4.288,44067.0,13.0,11.0,-18.0,4378.0,1.0,high
1,20000,20000.0,4.292,4448.0,11.0,10.0,-10.0,3648.0,0.0,none
1,20000,20000.0,4.31,58068.0,11.0,37.0,71.0,7596.0,1.0,high
1,20000,20000.0,4.319,12304.0,5.88,9.0,35.0,6450.0,0.0,none
1,20000,20000.0,4.321,68022.0,2.65,3.0,12.0,3443.0,0.0,none
1,20000,20000.0,4.33,295161.0,19.0,105.0,82.0,3787.0,0.0,none
1,20000,20000.0,4.448,6719.0,8.0,75.0,90.0,5254.0,1.0,high
1,20000,20000.0,4.462,100789.0,3.66,4.0,9.0,5882.0,0.0,none
2,20000,10000.0,3.901,12006.0,8.0,7.0,-14.0,2069.0,1.0,medium
2,20000,10000.0,3.938,7314.0,5.93,5.5,-8.0,787.0,1.0,medium
2,20000,10000.0,4.144,110548.0,7.0,12.0,26.0,2911.0,0.0,none
2,20000,10000.0,4.168,2050.0,8.0,140.0,95.0,1910.0,1.0,medium
2,20000,10000.0,4.194,3665.0,8.0,16.0,50.0,1589.0,1.0,medium
2,20000,10000.0,4.236,190918.0,11.0,10.0,-10.0,1717.0,1.0,medium
2,20000,10000.0,4.244,10258.0,8.0,7.0,-14.0,2438.0,0.0,none
2,20000,10000.0,4.307,5808.0,9.0,10.0,10.0,2587.0,1.0,medium
8,17400,2175.0,3.868,10600.0,5.45,5.38,0.0,326.0,2.0,medium
4,17000,4250.0,3.899,17120.0,10.0,17.5,27.0,571.0,2.0,medium
3,16000,5333.0,4.19,21012.0,3.83,38.0,89.0,1330.0,0.0,none
4,15100,3775.0,4.167,139788.0,7.25,23.5,47.0,772.0,1.0,medium
4,15100,3775.0,4.275,5781.0,8.25,22.5,50.0,683.0,1.0,medium
3,15050,5017.0,4.146,21485.0,8.33,17.67,31.0,965.0,0.0,none
2,15000,7500.0,3.938,4178.0,8.0,7.0,-14.0,1074.0,0.0,none
2,15000,7500.0,4.03,16447.0,13.5,11.5,-17.0,2312.0,0.0,none
2,15000,7500.0,4.055,7069.0,6.45,5.5,-17.0,1255.0,0.0,none
2,15000,7500.0,4.058,4213.0,7.5,7.0,-7.0,765.0,0.0,none
2,15000,7500.0,4.238,22765.0,10.0,14.5,25.0,1412.0,1.0,medium
5,13100,2620.0,3.886,32858.0,9.78,8.6,-12.0,804.0,2.0,medium
4,13000,3250.0,4.03,37956.0,6.1,43.0,65.0,717.0,2.0,medium
3,12000,4000.0,3.996,25260.0,6.33,6.0,-5.0,1431.0,1.0,medium
3,12000,4000.0,4.018,35358.0,5.96,6.33,8.0,619.0,1.0,medium
4,12000,3000.0,3.947,5083.0,7.4,25.0,38.0,489.0,2.0,medium
4,12000,3000.0,4.137,11505.0,6.11,11.5,33.0,312.0,1.0,medium
5,11200,2240.0,3.947,130598.0,10.18,13.0,4.0,437.0,2.0,medium
4,11100,2775.0,4.02,23832.0,8.75,9.5,7.0,320.0,2.0,medium
4,11100,2775.0,4.101,18029.0,11.5,17.75,20.0,521.0,1.0,medium
3,11000,3667.0,4.102,67171.0,8.0,8.0,1.0,989.0,3.0,high
2,11000,5500.0,3.85,5934.0,8.0,60.5,70.0,410.0,1.0,medium
2,11000,5500.0,3.865,4524.0,9.0,18.0,31.0,398.0,0.0,none
2,11000,5500.0,3.973,45524.0,6.93,22.5,41.0,334.0,1.0,medium
2,11000,5500.0,4.029,10501.0,6.0,50.0,81.0,1294.0,0.0,none
2,11000,5500.0,4.163,6329.0,10.5,9.0,-16.0,1489.0,0.0,none
2,11000,5500.0,4.193,20387.0,15.0,125.0,88.0,1344.0,1.0,medium
4,10200,2550.0,4.114,9827.0,7.5,21.0,65.0,310.0,2.0,medium
3,10100,3367.0,4.014,15348.0,6.67,27.33,51.0,306.0,1.0,medium
2,10100,5050.0,3.928,29615.0,10.0,27.0,47.0,206.0,0.0,none
2,10100,5050.0,3.987,59234.0,7.5,46.0,46.0,398.0,0.0,none
1,10000,10000.0,3.795,6158.0,12.0,11.0,-9.0,1276.0,1.0,high
1,10000,10000.0,3.795,1260.0,8.0,56.0,86.0,1285.0,0.0,none
1,10000,10000.0,3.849,3972.0,9.0,14.0,36.0,644.0,0.0,none
1,10000,10000.0,3.872,12371.0,11.0,20.0,45.0,2841.0,1.0,high
1,10000,10000.0,3.897,8563.0,8.0,7.0,-14.0,1467.0,1.0,high
1,10000,10000.0,3.907,1702.0,7.0,16.0,57.0,1792.0,0.0,none
1,10000,10000.0,3.941,5466.0,13.0,14.0,8.0,1938.0,0.0,none
1,10000,10000.0,3.952,2366.0,5.9,5.0,-18.0,1933.0,0.0,none
1,10000,10000.0,3.958,6302.0,11.0,10.0,-10.0,2058.0,0.0,none
1,10000,10000.0,3.961,4019.0,8.0,7.0,-14.0,1087.0,1.0,high
1,10000,10000.0,3.975,19735.0,5.77,5.0,-15.0,2892.0,0.0,none
1,10000,10000.0,3.976,33148.0,8.0,13.0,39.0,2753.0,0.0,none
1,10000,10000.0,3.982,3549.0,5.78,26.0,78.0,1426.0,0.0,none
1,10000,10000.0,3.982,6818.0,8.0,7.0,-14.0,1649.0,0.0,none
1,10000,10000.0,3.985,19521.0,12.0,11.0,-9.0,3560.0,1.0,high
1,10000,10000.0,3.988,1987.0,8.0,9.0,12.0,1316.0,0.0,none
1,10000,10000.0,3.995,19879.0,8.0,8.0,0.0,1858.0,0.0,none
1,10000,10000.0,4.018,23465.0,5.65,25.0,78.0,418.0,0.0,none
1,10000,10000.0,4.025,23485.0,8.0,118.0,94.0,2519.0,0.0,none
1,10000,10000.0,4.026,14284.0,11.0,10.0,-10.0,2102.0,0.0,none
