@RELATION summer_products_rating_group_classification

@ATTRIBUTE price NUMERIC
@ATTRIBUTE retail_price NUMERIC
@ATTRIBUTE units_sold NUMERIC
@ATTRIBUTE rating_count NUMERIC
@ATTRIBUTE rating_five_count NUMERIC
@ATTRIBUTE rating_four_count NUMERIC
@ATTRIBUTE rating_three_count NUMERIC
@ATTRIBUTE rating_two_count NUMERIC
@ATTRIBUTE rating_one_count NUMERIC
@ATTRIBUTE product_variation_inventory NUMERIC
@ATTRIBUTE countries_shipped_to NUMERIC
@ATTRIBUTE merchant_rating_count NUMERIC
@ATTRIBUTE merchant_rating NUMERIC
@ATTRIBUTE rating_group {low,medium,high}  % label

@DATA
18.0,115,100,177,73.0,36.0,31.0,12.0,25.0,34,51,300,4.156666666666666,medium
7.0,6,5000,601,245.0,102.0,121.0,55.0,78.0,50,41,12033,4.024765228953711,medium
16.0,14,10,3,0.0,2.0,0.0,0.0,1.0,2,34,31,3.548387096774193,low
5.0,8,1000,31,9.0,5.0,5.0,3.0,9.0,1,40,8484,3.995167373880245,medium
1.68,2,1000,51,20.0,13.0,10.0,2.0,6.0,1,30,365,3.9424657534246577,medium
7.0,6,100,21,8.0,4.0,6.0,3.0,0.0,3,49,44,3.772727272727273,medium
6.0,7,50,3,1.0,0.0,0.0,1.0,1.0,46,8,1374,4.058951965065503,low
13.0,19,1000,151,70.0,31.0,16.0,12.0,22.0,50,12,171,3.9415204678362574,medium
11.0,89,100,24,8.0,5.0,6.0,0.0,5.0,50,52,73595,4.38569196276921,medium
7.0,6,5000,1042,384.0,146.0,158.0,98.0,256.0,4,46,3460,3.8708092485549135,medium
12.0,11,100,3,0.0,1.0,0.0,0.0,2.0,50,38,5301,4.001131861912847,low
6.0,17,100,93,50.0,18.0,15.0,8.0,2.0,37,74,629,4.166931637519872,high
6.0,17,5000,449,165.0,50.0,83.0,49.0,102.0,50,49,7851,4.216278181123424,medium
8.0,7,100,9,5.0,2.0,0.0,0.0,2.0,25,28,88193,4.080890773644167,medium
8.0,7,100,29,9.0,4.0,6.0,2.0,8.0,5,32,89,4.067415730337078,medium
11.0,84,1000,792,398.0,163.0,112.0,54.0,65.0,50,137,6460,4.141021671826626,medium
6.0,22,5000,548,305.0,87.0,78.0,29.0,49.0,21,55,7076,3.968061051441493,high
11.0,10,1000,168,77.0,32.0,26.0,7.0,26.0,50,42,1452,3.7355371900826446,medium
9.0,8,100,31,17.0,7.0,4.0,1.0,2.0,20,35,2869,3.9745555942837214,high
8.0,26,100,14,3.0,2.0,5.0,1.0,3.0,50,40,43,3.186046511627907,medium
3.78,4,1000,79,30.0,13.0,11.0,5.0,20.0,1,38,105015,3.789601485502071,medium
8.0,7,100,9,5.0,2.0,0.0,0.0,2.0,50,124,32724,4.101118445177852,medium
6.0,145,100,52,23.0,13.0,5.0,6.0,5.0,49,49,2602,4.159492697924673,medium
8.0,17,1000,288,133.0,75.0,39.0,18.0,23.0,50,32,892,3.901345291479821,medium
9.0,36,20000,4345,2341.0,878.0,607.0,230.0,289.0,50,42,49327,4.168345936302633,high
5.65,5,5000,998,526.0,202.0,147.0,46.0,77.0,50,65,92654,4.251721458328836,high
3.0,3,100,15,5.0,3.0,2.0,3.0,2.0,3,36,268,3.8917910447761193,medium
8.0,10,50,5,3.0,0.0,1.0,0.0,1.0,5,23,129,3.7906976744186047,medium
5.74,59,1000,71,41.0,7.0,10.0,7.0,6.0,3,43,3161,4.181588105030054,medium
5.0,5,10,0,0.0,0.0,0.0,0.0,0.0,50,8,129,3.8372093023255816,high
8.0,7,20000,5641,2245.0,1059.0,999.0,562.0,776.0,50,38,70773,4.038319698189988,medium
3.67,4,10000,2072,1314.0,374.0,208.0,73.0,103.0,50,138,11333,4.395746933733345,high
7.0,50,1000,49,16.0,11.0,10.0,5.0,7.0,50,132,1290,4.011627906976744,medium
8.0,7,5000,894,396.0,161.0,128.0,78.0,131.0,17,33,3209,4.27859146151449,medium
11.0,10,1000,357,155.0,65.0,51.0,25.0,61.0,50,41,39381,4.066326401056347,medium
8.0,7,50,6,2.0,2.0,2.0,0.0,0.0,4,42,19281,4.159898345521498,medium
22.0,169,1000,542,195.0,93.0,92.0,49.0,113.0,50,35,9341,4.147414623701959,medium
8.0,7,10000,2441,1070.0,460.0,373.0,181.0,357.0,50,41,39381,4.066326401056347,medium
19.0,26,1000,205,57.0,25.0,43.0,23.0,57.0,10,47,5048,4.1596671949286845,medium
11.0,10,1000,215,94.0,32.0,40.0,23.0,26.0,50,39,2377,4.063525452250736,medium
6.0,6,1000,505,295.0,108.0,36.0,23.0,43.0,9,37,2996,4.348798397863819,high
7.0,56,5000,1378,747.0,317.0,172.0,66.0,76.0,15,41,25222,4.001546269130125,high
7.0,6,10000,1978,951.0,368.0,285.0,144.0,230.0,10,20,7069,4.055028999858537,medium
8.0,11,100,21,5.0,2.0,4.0,4.0,6.0,50,17,31,3.5806451612903225,low
14.0,26,100,72,31.0,14.0,8.0,6.0,13.0,2,39,7385,4.087339201083277,medium
6.0,6,100,27,9.0,8.0,5.0,2.0,3.0,5,38,4705,4.040595111583422,medium
11.0,12,5000,1045,383.0,181.0,188.0,109.0,184.0,50,79,1490,3.946308724832215,medium
6.0,21,5000,573,174.0,96.0,97.0,69.0,137.0,13,34,9827,4.113869950137377,medium
7.0,47,5000,556,308.0,90.0,69.0,39.0,50.0,50,42,35262,3.939481594918042,high
6.0,76,10000,1741,1074.0,324.0,191.0,73.0,79.0,50,32,28159,4.183387194147519,high
7.0,16,10000,1792,802.0,331.0,255.0,146.0,258.0,50,45,1702,3.907168037602821,medium
9.0,65,1000,162,70.0,32.0,26.0,10.0,24.0,50,36,3373,3.9647198339756895,medium
8.0,10,50,2,2.0,0.0,0.0,0.0,0.0,5,23,127,3.874015748031496,high
11.0,84,100,18,6.0,5.0,4.0,0.0,3.0,5,27,435,3.855172413793104,medium
8.0,7,100000,11062,4663.0,2418.0,1868.0,842.0,1271.0,10,38,108048,4.052504442470013,medium
18.0,17,10000,3229,1834.0,691.0,340.0,140.0,224.0,18,39,3309,4.250528860682985,high
11.0,30,10,0,0.0,0.0,0.0,0.0,0.0,50,78,22621,4.295123999823173,high
4.83,51,50,1,0.0,0.0,0.0,1.0,0.0,3,39,57,3.824561403508772,low
8.0,7,100,7,5.0,1.0,1.0,0.0,0.0,2,37,610,3.814754098360656,high
5.85,13,1000,602,186.0,104.0,97.0,52.0,163.0,9,38,25631,3.8947368421052633,medium
11.0,10,100,25,17.0,0.0,2.0,2.0,4.0,50,27,794,4.277078085642318,medium
9.0,34,100,18,13.0,3.0,0.0,1.0,1.0,50,39,1385,4.124909747292419,high
15.0,101,1000,646,334.0,106.0,94.0,41.0,71.0,22,40,29044,4.16027406693293,medium
5.0,5,1000,197,109.0,37.0,25.0,6.0,20.0,50,39,2610,4.15823754789272,high
8.0,7,100,23,9.0,3.0,4.0,5.0,2.0,17,41,139223,3.933581376640354,medium
5.69,5,5000,798,469.0,174.0,88.0,30.0,37.0,50,51,2199,4.236471123237836,high
6.0,6,100,8,5.0,0.0,1.0,2.0,0.0,5,23,127,3.874015748031496,medium
